RowName,Name,Identity_number,passport_number,Passport_validityperiod,Gender,BirthDate,Residence,Purpose,Period_stay,Stamp
1,David Adams,S5532430,P56779865,2028.08.14,0,1980.04.05,Fertebuk - Sapphire Hill,,3,1
2,Isabel Rivers,S6512199,P61811550,2029.12.13,1,1993.10.06,Ravenia - Rosewood Avenue,,5,1
3,Nathan Jones,S2330566,P56197516,2028.01.20,1,1990.06.30,Reuben - Maple Ridge,,10,0
4,Lily Collins,S0922192,P08594020,2030.11.29,1,1995.09.16,Fertebuk - Emerald Row,,7,1
5,Alex Quinn,S3514480,P55833289,2029.04.24,0,1989.05.17,Ravenia - Oakwood Secret,,4,1
6,Madeline Clark,S8945235,P48403441,2031.02.11,0,2000.03.19,Willow Creek,,5,1
7,Michael Hamilton,S2547251,P65209519,2027.05.09,0,1983.12.25,Fertebuk - Crystal Lake,,14,1
8,Rachel Hughes,S8352134,P29784473,2028.07.03,1,1987.09.20,Reuben - Maple Ridge,,7,1
9,Owen Patterson,S4318435,P13360664,2029.02.18,0,1991.10.28,Reuben - Maple Ridge,,10,1
10,Ella Mercer,S8140234,P29344517,2027.06.11,1,1995.07.22,Fertebuk - Sapphire Hill,,14,1
11,Theodore Ward,S1772704,P39640712,2030.08.08,0,1978.03.04,Ravenia - Oakwood Secret,,3,1
12,Joey Fushie,S7408541,P65029999,2029.09.16,1,1993.12.30,Willow Creek,,5,0
13,Miles King,S3888931,P29437833,2028.11.27,0,1986.02.18,Fertebuk - Emerald Row,,8,1
